latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,
-6.5729346,106.775826,247,25200,Asia/Bangkok,GMT+7,,,,,
,,,,,,,,,,
time,temperature_2m_mean (°C),dew_point_2m_mean (°C),shortwave_radiation_sum (MJ/m²),wind_speed_10m_max (km/h),surface_pressure_mean (hPa),precipitation_hours (h),soil_temperature_0_to_7cm_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),sunshine_duration (s)
11/20/2023,28.2,21.4,23.27,13.7,982.7,12,30,33.9,23.7,40833.09
11/21/2023,27.6,22.5,21.28,9.5,982,13,30.2,33.3,24.2,37066.24
11/22/2023,27,22.8,19.58,13,981.3,6,28.8,32.8,24,27502.03
11/23/2023,27.2,23,17.22,9.1,980.7,2,28.7,32,23.5,31718.78
11/24/2023,26.3,23.3,16.23,12.2,980.9,11,28.2,32.5,24.1,21339.54
11/25/2023,25.1,23.1,11.18,8.7,982,15,26.5,27.9,23.8,11661.23
11/26/2023,26.3,22.7,19.23,10.2,981.4,5,27.2,31.8,22.4,26147.57
11/27/2023,24.9,22.9,12.01,10.7,981.9,14,26.3,28,23,10544.26
11/28/2023,25.7,23.1,18.27,14.4,981.4,9,27.2,30.5,22.5,28995.65
11/29/2023,26.2,23.2,22.91,9.7,981.1,12,27.5,31.1,23,39600
11/30/2023,26,23.3,15.97,8.4,981.8,14,27,30.3,23.5,30531.76
12/1/2023,24.9,23.6,9.36,7.3,981.9,17,26,27.1,23.2,1711.76
12/2/2023,26.3,23,19.79,6.3,981.4,11,27.2,31.8,23.4,26866.38
12/3/2023,25.6,22.8,15.84,10.2,982.1,11,26.6,30.1,23.4,25200
12/4/2023,25.5,23,13.96,6.3,983,15,26.6,29.3,23.3,18178.89
12/5/2023,26.3,23,19.37,13,982.2,3,27.1,30.8,23,37162.09
12/6/2023,26.1,23.1,16.92,6.9,982.9,7,27.1,30.6,23.2,30491.21
12/7/2023,26.3,23.4,20.12,6.6,982.6,11,27.5,31.3,22.5,32720.97
12/8/2023,26.6,23,16.48,10.1,982.2,8,27.3,31.2,23.1,28656.11
12/9/2023,26.3,23.4,18.27,9.7,981.9,5,27.6,31.1,23.5,25739.32
12/10/2023,26.8,22.6,18.93,8,981.3,2,27.7,30.9,24,36412.23
12/11/2023,27.1,22.8,23.11,10.1,981,4,28.1,32.5,23.4,41937.23
12/12/2023,27.3,21.7,25.66,13.3,981,1,28.8,32.6,22.9,41967.84
12/13/2023,27.5,20.9,25.38,17.3,981.5,0,29.2,32.8,22.2,41998.68
12/14/2023,28,21,25.41,16.3,982.2,0,29.7,33.7,23,42029.66
12/15/2023,28.1,19.9,26.19,13.4,982,0,30,33.7,22.6,42060.68
12/16/2023,28,20.8,25.64,12.6,981.6,0,30.2,33.5,23,41705.14
12/17/2023,28.4,21.3,24.86,13.3,982,3,30.6,33.7,23.8,42122.49
12/18/2023,28.1,21.1,24.74,16.9,982.2,0,30.7,33.8,23,42153.1
12/19/2023,28.3,19.6,26.19,26.6,982.5,0,31,34.3,24,42183.39
12/20/2023,28,17.5,26.5,20.1,981.8,0,31,34.5,22.1,42213.27
12/21/2023,27.8,17.6,27.24,10.9,982.3,0,31,35,21,42242.65
12/22/2023,28.5,18.7,24.87,7.7,983.1,1,31.4,35.1,21.8,42271.44
12/23/2023,28.9,21.2,22.43,12,983.5,2,31.8,35,23.9,41033.91
12/24/2023,27.9,22,21.38,8.7,983.6,4,30.9,33.5,23.5,37293.93
12/25/2023,26.2,23.3,18.9,7.3,984.3,11,28.8,32.5,23.5,28481.09
12/26/2023,26.1,23.2,15.29,10.1,984.4,15,27.7,30,23.6,32936.2
12/27/2023,26.4,23.5,17.74,10,984.9,10,28,31.9,23.8,23514.1
12/28/2023,27,23.1,21.42,8.6,983.4,6,28.6,32.2,23.5,38098.97
12/29/2023,26.5,23.4,17,9,982.4,6,28.2,31,23.4,26771.07
12/30/2023,26.1,23.5,16.98,9.2,982.5,13,27.9,31.7,23.1,28043.74
12/31/2023,26.3,23.3,15.29,4.8,982.6,8,27.3,31.6,23.2,21423.49
