"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.9731037869072","98.0125082381901","98.051912689473","98.0913171407559","98.1307215920388","98.1701260433217","98.2095304946046","98.2489349458875","98.2883393971704","98.3277438484533","98.3671482997362","98.4065527510191","98.445957202302","98.4853616535849","98.5247661048679","98.5641705561508","98.6035750074337","98.6429794587166","98.6823839099995","98.7217883612824","98.7611928125653","98.8005972638482","98.8400017151311","98.8400017151311","98.8400017151311",
"Africa Eastern and Southern","AFE","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9621909080846","22.2836678508386","22.6244370730196","22.9966498728947","23.3762339220932","23.9230528506151","24.468060928214","25.006677364972","25.6024226914764","26.2117702405332","26.8237867685247","27.0458642385177","27.6510504933713","28.2732379856868","28.9150756451662","29.5806299792428","30.2072987113232","30.9334876885869","31.6082193350839","32.2445544986626","32.8799940328049","33.571066337811","34.2791696120513","34.0795139485384","34.6634516329513",
"Afghanistan","AFG","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.298273284655","22.3095245309963","23.7347094449173","25.160116505547","26.592743290922","28.0329173729232","29.4737113537171","30.8753174900848","32.2737202067488","33.6691080892303","35.0616668763216","36.4517450288191","37.8393855148321","39.2247837532389","40.6081362553092","41.9898186307368","43.3698641937307","44.7508111861658","46.1335435081079","47.5183902057843","48.9056813120247","50.2966403259731","51.6914397704169","53.0909369400519","54.4957993646086",
"Africa Western and Central","AFW","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.7358871816692","21.9842903354058","22.6098947749346","23.261434750692","23.9375139563629","24.6418406739706","25.3654015083522","26.1039183878628","26.8572645909981","27.6306381672926","28.4226407471275","29.2280189957118","30.0505484040629","30.8917680205509","31.7508377135961","32.6250683396274","33.5093514125676","34.4079009359693","35.2016115683715","36.1241075478964","37.0599054387376","38.0075378466528","39.1906177464115","40.1387125859686","40.5629086144848",
"Angola","AGO","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.8004076625916","34.2558546036306","34.7112995930867","35.7566857674784","36.8026608112345","37.8465318357126","38.7338819151989","39.6205689404056","40.5073529931406","41.3926874563562","42.2777189153195","43.1620627220945","44.0453181222275","44.9270819739207","45.8077399649675","46.6837650963553","47.555908833618","48.4237656848917","49.2865229934191","49.5470237290202","49.8016376564917","50.0511353702384","50.2951359158799","","",
"Albania","ALB","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.4886699063414","90.0309557632919","90.6055152426868","91.1654528669664","91.710652089826","92.32297892735","92.9214090363528","93.5057448871061","94.075815843771","94.6311562732715","95.1721611108923","95.6984906230124","96.210272006809","96.7065607873958","97.1880171020454","97.6549680441734","98.1079014758832","98.5472964296809","98.9736466158724","99.1830672601737","99.298792439378","99.2990351357274","99.2992678183537","99.2994944120586","99.2997151439025",
"Andorra","AND","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999977350507","99.9999981868428","100","100","99.999995252479","100","100","100","100","99.9999971715362","99.9999980431632","100","99.9999982821599","100","100","100","100","100","100","100","99.9999952180714","100","99.9999963147646","100","100",
"Arab World","ARB","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.4459189458218","71.697526705216","72.0158556451639","72.4114199268169","72.7854269772265","73.4625053159084","74.1962669465968","74.9414558896941","75.6977166767641","76.4202358124984","77.1480130420157","77.9422242861884","78.7032016609238","80.7128981411209","81.3804149970333","82.0647165627336","82.7181898708854","83.3065429485668","83.8543247646562","84.3862512082364","84.9310720181759","85.2970813642296","85.8041341756262","86.353231650274","86.9241273752716",
"United Arab Emirates","ARE","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.160856612895","99.1568733967511","99.1529487950729","99.1490944909121","99.1452977289426","99.1415716401996","99.1379008454285","99.1343292735579","99.1308669416224","99.1274862085327","99.1241974644732","99.120999868482","99.1178959002456","99.1148814743619","99.1119382516612","99.1090951528049","99.1063234658359","99.1036305730769","99.1010218730891","99.0984768671773","99.0960113749665","99.0936250142386","99.0913042673601","99.0890518596042","99.0868783474854",
"Argentina","ARG","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.6669268418186","88.1359380067969","88.6033982942423","89.0695612672158","89.5350610098707","89.9997295570375","90.4637841739601","90.9270368517711","91.3897117135692","91.8516400553942","92.3128332477506","92.7707485221134","93.2268060456617","93.623132025003","94.0211240402659","94.4204076284931","94.8209557204549","","","","","","","","",
